Лiневiча Яраслава Львовiча
!=Даніл: Мірз
Сапуто Сяргея Пятровiча
Бессмертнага Сяргея Фiлiпавiча
Парфеновіча Сяргея Матвеевiча
Скамароха Уладзiмiра Фёдаравiча
Бельскага Уладзiмiра Сцяпанавiча
Беразавіка Аляксея Фёдаравiча
Галубоўскага Пятра Iванавiча
Давідовіча Сяргея Вiктаравiча
Данько Iгара Уладзiмiравiча
Загорскага Андрэя Мiхайлавiча
Касовіча Уладзiмiра Уладзiмiравiча
Кемко Мiкалая Анатольевiча
Кукарэку Уладзiмiра Леанiдавiча
Лазюк Вольгу Валянцiнаўну
Лялікава Уладзiмiра Анатольевiча
Мандрыка Уладзiслава Аляксеевiча
Мельніка Рамана Iванавiча
Правілу Вiктара Анатольевiча
Прыходзьку Пятра Мiхайлавiча
Сандалюка Сяргея Васiльевiча
Сухадольскага Мiкалая Мiхайлавiча
Упеніка Аляксея Аляксеевiча
Цялушку Мiхаiла Пятровiча
Шакаля Васiлiя Iванавiча
Акінчыца Аляксандра Аляксандравiча
Аксёнава Уладзiмiра Мiкалаевiча
Алёксу Аляксандра Iванавiча
Альхоўскага Iгара Пятровiча
Аляксандрава Iгара Аляксандравiча
Андрушкевіча Алега Уладзiмiравiча
Анішчанку Андрэя Уладзiмiравiча
Антановіча Аляксандра Васiльевiча
Атрошчанку Сяргея Iванавiча
Аўдзея Антона Iванавiча
Ахрамовіч Вольгу Георгiеўну
Багданоўскага Аляксандра Сяргеевiча
Баравiка Аляксандра Віктаравіча
Барысенку Андрэя Пятровiча
Белавуса Паўла Мiхайлавiча
Белавушку Сяргея Уладзiмiравiча
Белаусава Юрыя Сяргеевiча
Белянкова Вадзiма Святаслававіча
Блінкова Васiлiя Васiльевiча
Бодзікава Юрыя Уладзiмiравiча
Брадніцкага Уладзiмiра Уладзiмiравiча
Брэхуна Яўгенiя Валендэмаравіча
Бубкiна Аляксандра Уладзiмiравiча
Бубнова Мiкалая Мiхайлавiча
Булановіча Сяргея Валер’евiча
Бульбяшова Сяргея Мiхайлавiча
Бурака Васiлiя Васiльевiча
Бут-Гусаiм Марыну Аляксандраўну
Важніка Уладзiмiра Уладзiмiравiча
Валько Мiхаiла Васiльевiча
Вараб’ёва Аляксея Уладзiмiравiча
Васілеўскага Аляксандра Уладзiмiравiча
Васілеўскага Яўгена Аляксандравiча
Васюту Валерыя Мiхайлавiча
Верцінскага Сяргея Вiктаравiча
Вінікава Сяргея Мiхайлавiча
Владарчыка Iвана Яўгеньевiча
Вусава Алега Iванавiча
Вусіка Юрыя Iванавiча
Вялічку Аляксандра Аляксандравiча
Гавараку Андрэя Уладзiмiравiча
Гайчука Уладзiмiра Анатольевiча
Гапанава Уладзiмiра Анатольевiча
Гаравога Сяргея Аляксандравiча
Гарбачова Вiктара Уладзiмiравiча
Гардзіеўскага Уладзiмiра Вiктаравiча
Гародку Iгара Тадэвушавiча
Гаршкова Ігара Анатольевiча
Гарэліка Часлава Баляслававiча
Граблеўскага Аляксандра Вiктаравiча
Грыцука Валерыя Анатольевiча
Грэцкага Сяргея Iванавiча
Грэчку Леанiда Пятровiча
Губара Уладзiмiра Iванавiча
Губіча Валерыя Пятровiча
Гузняка Андрэя Мiкалаевiча
Гуліса Аляксандра Леанiдавiча
Гурыновіч Наталлю Уладзiмiраўну
Гурыновіча Сяргея Мiхайлавiча
Гурэева Сяргея Вiктаравiча
Дайлідава Сяргея Анатольевiча
Дзенісевіча Юрыя Мiкалаевiча
Дзiкавiцкага Валерыя Георгіевіча
Дзюбянкова Аляксея Мiхайлавiча
Дзятлоўскага Вячаслава Мiкалаевiча
Дзяшко Аляксандра Сяргеевiча
Дробуша Дзмiтрыя Дзмiтрыевiча
Дрызоўскага Юрыя Леанiдавiча
Дуброўку Вiктара Аляксандравiча
Дулевіча Андрэя Юр’евiча
Дунчанку Юрыя Вiктаравiча
Дупанава Сяргея Леанiдавiча
Дыманта Аляксандра Васiльевiча
Емельяновіча Максіма Максiмавiча
Есмантовіча Альберта Мiхайлавiча
Жалабкова Андрэя Аляксандравiча
Жаўняровіча Дзмiтрыя Мiхайлавiча
Жука Валерыя Леанiдавiча
Заблоцкага Дзмiтрыя Iосiфавiча
Завадскага Сяргея Уладзiмiравiча
