fіo,dolzhnost,,,,,,,,,,,regіon
Белаконева Алега Аляксеевіча,"начальніка Генеральнага штаба Узброеных Сіл – першага намесніка Міністра абароны, генерал-маёра",,,,,,,,,,,
Васкабойнага Мікалая Аляксеевіча,"начальніка сувязі – начальніка аддзела сувязі штаба Заходняга аператыўнага камандавання Узброеных Сіл, палкоўніка",,,,,,,,,,,
Жука Андрэя Уладзіміравіча,"камандзіра 11-й асобнай гвардзейскай механізаванай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, палкоўніка",,,,,,,,,,,
Іванова Вячаслава Анатольевіча,"начальніка аўтамабільнага ўпраўлення Міністэрства абароны, палкоўніка",,,,,,,,,,,
Лесуна Алега Мікалаевіча,"намесніка камандзіра па тылу – начальніка тылу 30-й асобнай чыгуначнай брыгады транспартных войскаў, падпалкоўніка",,,,,,,,,,,
Лінкевіча Валерыя Леанідавіча,"начальніка ўстановы ""Следчы ізалятар № 6"" упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Брэсцкай вобласці, палкоўніка ўнутранай службы",,,,,,,,,,,
Лук’яновіча Андрэя Юльянавіча,"камандзіра 50-й змешанай авіяцыйнай базы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, палкоўніка",,,,,,,,,,,
Матрашылу Ігара Фадзеевіча,"начальніка ўпраўлення тэрытарыяльнай абароны – намесніка начальніка Генеральнага штаба Узброеных Сіл, генерал-маёра",,,,,,,,,,,
Маханькова Сяргея Уладзіміравіча,"начальніка папраўчай установы ""Папраўчая калонія № 15"" упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Магілёўскай вобласці, палкоўніка ўнутранай службы",,,,,,,,,,,
Мельнікава Алега Іванавіча,"першага намесніка начальніка штаба Заходняга аператыўнага камандавання Узброеных Сіл, палкоўніка",,,,,,,,,,,
Раўкова Андрэя Аляксеевіча,"камандуючага войскамі Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, генерал-маёра",,,,,,,,,,,
Чэкана Васілія Іванавіча,"начальніка ўстановы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", палкоўніка ўнутранай службы",,,,,,,,,,,
Якаўлева Алега Уладзіміравіча,"начальніка дзяржаўнай авіяцыйнай аварыйна-выратавальнай установы ""АВІЯЦЫЯ"" Міністэрства па надзвычайных сітуацыях, палкоўніка ўнутранай службы",,,,,,,,,,,
Літвінаву Зою Васільеўну,"члена грамадскага аб’яднання ""Беларускі саюз мастакоў""",,,,,,,,,,,
Акуліка Валерыя Міхайлавіча,"начальніка ўпраўлення ваенных зносін транспартных войскаў, палкоўніка",,,,,,,,,,,
Анціпенкава Аляксея Уладзіміравіча,"камандзіра 259-га асобнага мабільна-аднаўленчага чыгуначнага батальёна 30-й асобнай чыгуначнай брыгады транспартных войскаў, падпалкоўніка",,,,,,,,,,,
Бабруйскага Юрыя Аляксандравіча,"начальніка ўпраўлення міжнароднага ваеннага супрацоўніцтва Міністэрства абароны, палкоўніка",,,,,,,,,,,
Баса Аляксандра Іванавіча,"камандзіра 6-й асобнай гвардзейскай механізаванай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, палкоўніка",,,,,,,,,,,
Беганскага Віталія Аляксандравіча,"начальніка стацыянарнага вузла сувязі 60-га асобнага палка сувязі Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
